first_name,last_name,birth_date,from_date,to_date,title
Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Staff
Juyoung,Seghrouchni,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
Keiichiro,Glinert,1965-01-21,1993-09-16,9999-01-01,Engineer
Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
Morrie,Schurmann,1965-01-30,1998-12-31,9999-01-01,Staff
Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Staff
Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Engineer
Caolyn,Setiz,1965-01-22,1990-02-06,9999-01-01,Staff
Sastry,Marrevee,1965-01-19,1999-09-25,9999-01-01,Engineer
Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Staff
Nikolaos,Kruskal,1965-01-18,1990-12-17,9999-01-01,Engineer
Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Senior Staff
Arvin,Rabejac,1965-01-17,1994-01-01,9999-01-01,Engineer
Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Staff
Gaurav,Swick,1965-01-21,1996-05-07,9999-01-01,Engineer
Morris,Garigliano,1965-01-15,1995-05-24,9999-01-01,Senior Staff
Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Engineer
Yaghout,Kenevan,1965-01-31,2000-09-15,9999-01-01,Engineer
Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
Gennady,Roison,1965-01-16,1989-12-06,9999-01-01,Engineer
Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
Mabhin,Calkin,1965-01-31,1989-11-30,9999-01-01,Engineer
Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Senior Engineer
Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Engineer
Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Senior Staff
Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Engineer
Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Engineer
Satoru,Yoshizawa,1965-01-19,1994-03-27,9999-01-01,Senior Staff
Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Engineer
Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Staff
Kazunori,Peak,1965-01-23,1999-08-13,9999-01-01,Senior Staff
Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Senior Engineer
Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
Candida,Benveniste,1965-01-24,1999-01-20,9999-01-01,Engineer
Christoph,Trystram,1965-01-30,1993-10-15,9999-01-01,Staff
Otmar,Rothenberg,1965-01-21,1989-03-14,9999-01-01,Senior Engineer
Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
Piyush,Danecki,1965-01-21,2000-01-08,9999-01-01,Engineer
Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Senior Staff
Huai,Birch,1965-01-29,2002-06-12,9999-01-01,Assistant Engineer
Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
Jasminko,Bresenham,1965-01-27,1994-01-19,9999-01-01,Senior Staff
Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
Jaana,Perez,1965-01-26,1996-03-11,9999-01-01,Technique Leader
Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
Lubomir,Wroclawski,1965-01-25,1993-07-25,9999-01-01,Senior Engineer
Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Staff
Cordelia,Gischer,1965-01-20,1989-03-14,9999-01-01,Engineer
Ingmar,Basawa,1965-01-19,1991-11-09,9999-01-01,Staff
Nevin,Rodham,1965-01-28,1998-12-14,9999-01-01,Senior Staff
Jiakeng,Kalorkoti,1965-01-21,1994-12-25,9999-01-01,Senior Engineer
Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Engineer
Wanqing,Krohm,1965-01-19,1991-01-22,9999-01-01,Senior Staff
